date,amount,category,description
2025-06-29 16:50:47,-491.64,Miscellaneous,Public them by hear.
2025-10-29 11:46:53,-112.12,Miscellaneous,None machine development.
2026-01-11 15:10:48,149.88,,Bonus from work
2025-06-05 13:52:31,-128.32,Transportation,Phone arm out focus now.
2025-06-28 02:55:54,586.63,,Sold old items
2025-07-24 20:18:17,-317.11,Shopping,Other notice interesting recently or.
2025-10-15 01:34:48,-486.07,Transportation,Full already time first character.
2025-04-30 02:13:40,269.21,,Sold old items
2025-02-22 21:21:22,-327.21,Utilities,Hold into the political owner participant.
2025-12-04 18:15:03,54.97,,Sold old items
2025-08-23 17:21:38,734.51,,Salary payment
2025-12-05 12:57:00,768.14,,Bonus from work
2025-12-13 10:12:35,-162.97,Transportation,Official turn car involve.
2025-01-30 14:26:10,559.57,,Gift received
2025-04-25 23:37:47,-447.4,Shopping,Model huge teacher Mr reality.
2025-10-27 02:09:15,444.0,,Sold old items
2025-12-29 16:43:50,136.66,,Bonus from work
2025-03-08 12:56:48,-446.14,Shopping,Under social fish back.
2025-04-18 06:46:13,851.15,,Freelance project
2025-06-19 11:51:21,-77.34,Transportation,Base everyone beyond factor course miss.
2025-03-07 22:01:34,-370.45,Utilities,Right letter wife place large.
2025-12-06 07:17:16,850.59,,Bonus from work
2025-03-17 08:22:11,895.37,,Sold old items
2025-04-09 06:09:43,-326.16,Shopping,Look goal risk government sport.
2025-06-10 00:51:28,-92.3,Food,Shake speak heart husband staff.
2025-04-21 18:09:37,-57.14,Shopping,Debate voice worry they degree stage hot.
2026-01-07 14:06:33,-363.78,Shopping,As arrive rather.
2025-11-29 18:32:45,-159.66,Shopping,Picture fight answer night person magazine woman customer.
2025-05-21 18:07:29,-161.86,Healthcare,Test million attack new debate party scientist study.
2025-05-28 08:16:47,-237.66,Food,Term send walk anything center feeling exactly.
2025-08-12 08:29:35,372.34,,Bonus from work
2025-02-12 22:32:32,-216.1,Clothing,During public hard any learn face.
2025-08-17 06:49:52,-387.54,Healthcare,Produce site imagine world some.
2025-04-16 17:27:42,210.82,,Gift received
2025-09-20 14:31:31,-288.49,Entertainment,Work nor thing drive tree necessary.
2025-02-27 12:18:03,181.09,,Gift received
2025-07-29 14:48:54,-349.9,Transportation,Possible hand act nor type culture.
2025-05-26 13:39:49,97.56,,Salary payment
2025-12-09 23:58:09,-66.65,Transportation,Type part time front.
2025-04-13 04:16:11,-155.57,Shopping,Tree movement get future than.
2025-12-22 07:48:56,891.86,,Freelance project
2025-08-11 03:11:03,192.74,,Bonus from work
2025-12-09 16:37:38,-23.8,Transportation,Most manager sell official hotel effect.
2026-01-12 10:25:21,372.95,,Gift received
2025-08-13 11:01:37,-72.44,Miscellaneous,Ready sometimes also style effect.
2025-02-08 19:50:57,-102.84,Shopping,Light notice no organization city here crime.
2025-06-08 22:02:15,248.34,,Gift received
2025-02-21 00:44:57,-123.14,Food,Just task case poor chance.
2025-08-03 18:37:00,193.28,,Gift received
2025-06-28 11:27:34,402.83,,Bonus from work
2025-11-29 07:33:21,-341.44,Transportation,Realize position according wait.
2025-02-13 11:05:06,-379.85,Travel,Provide while ask design.
2025-10-26 10:49:46,-194.13,Clothing,Society book cover something claim deal check.
2025-10-17 15:51:39,-377.08,Utilities,Official hope suddenly federal peace discuss.
2025-02-18 02:09:00,402.34,,Salary payment
2025-11-06 16:59:35,-492.11,Travel,Approach true worry on.
2025-02-10 10:26:47,678.77,,Gift received
2025-12-06 08:03:28,309.58,,Gift received
2025-10-08 14:46:07,664.7,,Bonus from work
2025-09-23 04:35:31,84.17,,Freelance project
2025-06-16 01:46:14,-449.7,Travel,Who sing near rule institution likely.
2025-08-21 02:51:47,-255.41,Clothing,Toward yourself official arm.
2025-07-15 03:36:53,604.78,,Bonus from work
2025-03-04 09:04:34,-494.75,Miscellaneous,Wrong nature seek sometimes financial thus.
2025-04-21 21:13:01,-442.29,Education,Radio evening conference least doctor.
2025-08-15 06:53:58,434.89,,Salary payment
2026-01-12 07:22:05,651.24,,Salary payment
2025-05-12 06:17:26,-360.04,Shopping,Recently move protect tree establish level power.
2025-12-19 15:31:24,-390.15,Utilities,Somebody us really task simple thought PM.
2025-02-28 13:44:20,-140.58,Food,Floor travel parent according include us face.
2025-01-23 06:33:08,333.7,,Freelance project
2025-11-17 05:57:38,-241.39,Travel,Traditional theory marriage crime full should.
2025-07-14 11:25:18,-419.2,Entertainment,Network summer lay well agency.
2026-01-08 00:07:02,-189.4,Travel,Serious speech lawyer raise card.
2025-12-07 05:55:10,812.15,,Sold old items
