date,amount,category,description
2025-10-29 11:46:53,-112.12,Miscellaneous,None machine development.
2025-07-01 19:12:28,204.38,,Gift received
2025-12-09 16:37:38,-23.8,Transportation,Most manager sell official hotel effect.
2025-10-23 03:47:06,-100.34,Miscellaneous,Out affect create win instead hope positive woman.
2025-03-11 15:30:18,721.94,,Gift received
2025-12-09 23:58:09,-66.65,Transportation,Type part time front.
2025-08-22 21:28:06,-65.34,Miscellaneous,Bit feel employee yeah over.
2025-11-23 08:25:26,-409.06,Healthcare,Each sign popular represent with enjoy nice.
2025-03-12 02:12:28,-246.43,Travel,Trip personal number camera sure woman.
2025-04-13 08:56:38,-279.66,Education,Industry adult someone important fall.
2025-03-24 09:13:31,427.51,,Freelance project
2025-03-22 11:33:13,-432.06,Shopping,Start section baby reflect.
2025-04-12 04:09:16,997.68,,Sold old items
2025-04-21 21:13:01,-442.29,Education,Radio evening conference least doctor.
2025-07-29 19:01:30,471.89,,Freelance project
2025-11-08 10:23:43,-314.59,Shopping,Admit human more themselves senior answer.
2025-03-08 01:01:01,-326.28,Transportation,Series travel style feel me.
2025-03-24 07:17:16,63.38,,Bonus from work
2025-11-18 09:18:22,610.33,,Salary payment
2025-07-20 14:34:46,850.42,,Gift received
2025-11-29 07:33:21,-341.44,Transportation,Realize position according wait.
2025-04-29 08:02:16,-461.29,Food,Hundred effect popular would early always.
2026-01-05 22:08:21,-479.81,Utilities,Space visit line continue.
2025-03-20 17:36:05,69.57,,Salary payment
2025-12-05 12:57:00,768.14,,Bonus from work
2025-06-03 09:31:27,574.35,,Salary payment
2025-11-21 02:05:30,407.72,,Bonus from work
2025-03-28 12:37:45,-98.09,Education,Design response simple certain.
2025-11-02 19:32:25,-459.16,Food,Economic the special gun media.
2025-08-15 22:04:04,208.5,,Freelance project
2025-04-15 03:23:42,-153.32,Miscellaneous,Parent election hotel from.
2025-04-30 11:57:11,-27.43,Utilities,Significant better east yard.
2025-09-26 22:23:25,948.58,,Salary payment
2025-02-01 06:31:02,-397.05,Transportation,Her yet record half morning some education.
2025-05-28 06:56:54,-376.06,Clothing,Discover staff serve these.
2025-10-04 22:59:50,287.49,,Freelance project
2025-03-19 10:04:30,134.75,,Freelance project
2025-07-06 14:30:44,-62.54,Education,Ago western surface very.
2025-02-26 08:06:35,679.29,,Gift received
2025-02-01 05:53:46,442.91,,Salary payment
2025-10-22 04:17:26,65.82,,Bonus from work
2025-03-15 23:26:25,-398.4,Education,Task work ever blue face team.
2025-07-07 08:02:29,-367.69,Entertainment,Teach buy cell lead.
2025-12-08 11:26:56,-436.06,Transportation,Theory early ready here.
2025-12-15 13:33:48,-347.29,Miscellaneous,Wall away president.
2025-12-03 23:11:47,-66.36,Healthcare,Available history still bed.
2025-04-06 23:22:49,-262.39,Shopping,Professor table choose return former.
2025-02-09 08:42:34,-91.2,Utilities,Family dream former almost charge couple wind.
2025-01-23 06:33:08,333.7,,Freelance project
2025-05-01 05:32:19,367.87,,Gift received
2025-10-07 03:17:29,-180.38,Clothing,Line point single.
2025-01-29 16:33:27,117.96,,Freelance project
2025-09-17 18:12:48,365.16,,Salary payment
2025-06-06 15:14:13,-49.0,Utilities,Research three change remain.
2025-02-18 20:20:50,953.03,,Gift received
2025-11-21 11:30:41,906.89,,Freelance project
2026-01-04 22:01:46,734.13,,Bonus from work
2025-09-15 21:40:51,594.72,,Freelance project
2025-04-13 16:44:05,-333.55,Utilities,Service everybody recently most lawyer response top nation.
2025-05-21 20:35:02,-450.45,Food,Why poor safe article development month economic.
2025-11-24 11:50:28,535.12,,Freelance project
2025-11-01 18:38:29,-204.59,Education,Be base figure house friend least.
2025-05-29 06:49:20,297.85,,Freelance project
2025-01-27 16:39:25,706.13,,Bonus from work
2025-06-12 01:54:42,468.81,,Sold old items
2025-10-23 08:43:40,-76.63,Healthcare,Sport finish program structure eight how must.
2025-03-31 11:11:26,-181.68,Entertainment,East help until may song throw.
2025-08-26 22:06:11,-224.78,Entertainment,Medical pattern town staff maintain page reveal fill.
2025-09-30 12:59:29,-332.72,Miscellaneous,Half loss forward if watch case.
2025-03-07 22:01:34,-370.45,Utilities,Right letter wife place large.
2025-05-23 03:52:28,412.24,,Salary payment
2025-01-24 11:50:13,-404.57,Entertainment,First writer side start since mean.
2025-10-27 15:29:28,902.91,,Salary payment
2025-03-17 21:22:58,332.07,,Gift received
2025-09-21 12:55:32,-180.25,Education,Instead top camera score second ball.
2025-12-21 07:10:14,-213.5,Shopping,Walk behavior TV employee east result.
2025-10-23 21:37:02,-314.72,Travel,Condition clearly record often ahead born walk me.
2026-01-02 00:15:11,647.06,,Gift received
2025-03-09 13:35:31,-150.29,Miscellaneous,Arm show central.
2025-09-12 23:30:50,-23.4,Education,Industry buy for scientist newspaper.
2025-05-20 16:34:37,556.09,,Bonus from work
2025-12-28 11:57:41,359.77,,Freelance project
2025-02-10 10:26:47,678.77,,Gift received
2026-01-10 00:52:44,86.98,,Sold old items
2025-06-10 00:51:28,-92.3,Food,Shake speak heart husband staff.
2025-09-09 17:50:16,-166.43,Transportation,Occur almost finish catch popular big chair.
2025-07-07 03:28:02,-34.79,Transportation,Seem institution around sure too without similar.
2026-01-18 02:35:33,-98.28,Entertainment,Which sell operation set life.
2025-09-12 23:05:10,455.47,,Gift received
2025-07-15 15:30:48,-411.21,Transportation,High stuff reveal.
2025-03-26 23:20:27,230.13,,Gift received
