date,amount,category,description
2025-12-16 19:50:15,-381.14,Miscellaneous,Network use commercial gun course reason radio.
2025-07-16 06:41:45,-319.6,Healthcare,Evening draw culture pay another approach green.
2025-12-02 20:52:54,-137.71,Travel,Look tough arm really build tell operation.
2025-03-06 20:42:05,-459.39,Transportation,Goal church scene water least public behind return.
2025-05-14 12:41:42,160.51,,Gift received
2025-04-23 12:35:32,-482.0,Clothing,Property size sister expect.
2025-08-17 22:39:25,-43.17,Food,Likely he standard beyond contain.
2025-07-01 04:56:47,683.23,,Bonus from work
2025-04-30 05:32:54,721.77,,Salary payment
2025-05-25 23:49:01,855.54,,Bonus from work
2025-02-18 16:57:35,783.99,,Gift received
2025-08-23 05:42:03,-323.01,Travel,We ask fire all culture.
2025-08-11 05:43:31,-110.15,Education,So PM production maintain member student.
2025-02-21 04:22:38,969.03,,Salary payment
2025-06-11 01:08:17,-490.04,Education,Conference study technology career up.
2025-09-27 05:07:04,322.06,,Bonus from work
2025-12-16 13:11:17,128.47,,Gift received
2025-08-17 18:04:08,-334.13,Shopping,Field tonight customer voice must.
2025-12-10 00:35:52,215.51,,Gift received
2026-01-15 07:58:59,94.44,,Gift received
2026-01-11 01:23:55,-381.17,Clothing,Before measure try American store budget.
2025-09-09 09:15:17,901.85,,Sold old items
2025-08-25 13:17:03,-294.19,Utilities,Voice skin science friend feel.
2025-10-27 02:09:15,444.0,,Sold old items
2025-09-03 07:23:39,933.68,,Salary payment
2025-10-03 09:53:53,-151.75,Miscellaneous,Who always civil your produce item story.
2025-08-01 22:38:25,-232.4,Shopping,Own kitchen network need.
2025-07-12 01:58:50,-227.36,Healthcare,Hair prepare girl similar set grow.
2025-12-24 05:54:11,-66.83,Entertainment,Miss major can attack for argue color.
2025-05-12 06:17:26,-360.04,Shopping,Recently move protect tree establish level power.
2025-03-30 01:00:49,-374.9,Transportation,Accept building past likely.
2025-10-17 19:27:09,139.74,,Bonus from work
2025-07-24 23:35:26,-157.1,Entertainment,Interest country line.
2025-02-12 22:32:32,-216.1,Clothing,During public hard any learn face.
2025-09-20 15:49:18,-101.99,Education,Himself soon total compare very let.
2025-03-11 19:45:13,323.34,,Gift received
2025-07-25 08:55:37,898.74,,Salary payment
2025-12-23 13:17:53,115.85,,Gift received
2025-06-07 10:43:26,324.75,,Salary payment
2025-05-14 04:28:50,-147.18,Entertainment,Church system field become yard fear.
2025-03-29 22:34:19,247.24,,Salary payment
2025-10-09 07:56:22,832.49,,Bonus from work
2025-09-11 05:07:36,142.78,,Sold old items
2025-03-29 01:06:20,759.02,,Salary payment
2025-08-17 18:00:56,816.36,,Gift received
2025-12-16 17:33:02,429.95,,Sold old items
2025-08-06 05:52:28,142.25,,Gift received
2025-07-30 05:22:56,785.91,,Salary payment
2025-07-26 09:08:26,974.9,,Salary payment
2025-10-08 14:46:07,664.7,,Bonus from work
2025-10-06 23:01:25,-467.22,Shopping,Crime prepare whom feel.
2025-10-31 04:23:17,-473.05,Transportation,Chair hear model receive.
2025-06-18 18:24:27,-238.44,Education,Away guess production.
2025-05-01 07:12:05,451.75,,Bonus from work
2025-06-27 08:44:32,245.83,,Salary payment
2025-05-05 06:31:48,-437.05,Miscellaneous,Entire upon cause analysis happen fight candidate.
2025-12-04 19:47:07,-134.08,Clothing,Order study movement collection.
2025-05-27 05:02:48,805.65,,Freelance project
2025-10-08 15:32:00,840.63,,Freelance project
2025-02-24 16:17:31,-159.04,Shopping,Major quite little just everybody.
2025-03-29 05:36:55,972.51,,Gift received
2025-06-28 11:27:34,402.83,,Bonus from work
2025-08-25 02:36:25,-284.64,Clothing,Fear really any once certainly born produce.
2025-08-27 00:58:12,774.45,,Bonus from work
2025-08-05 01:14:29,787.98,,Sold old items
2025-04-07 22:36:35,228.2,,Bonus from work
2025-12-12 10:50:09,150.47,,Salary payment
2025-12-11 21:20:32,-450.06,Food,Might important hour catch.
2025-05-20 12:20:12,450.52,,Sold old items
2025-08-23 11:03:36,-111.52,Transportation,News industry book computer ready.
2025-04-04 08:10:30,-262.47,Utilities,A save beyond be receive hospital western against.
2025-03-10 17:48:29,-459.93,Miscellaneous,Kitchen mention mother check ask.
2025-03-29 10:22:19,602.78,,Freelance project
2025-12-04 00:09:08,997.49,,Salary payment
2025-02-15 06:41:33,601.61,,Gift received
2025-06-29 16:50:47,-491.64,Miscellaneous,Public them by hear.
2025-08-26 17:51:25,-184.38,Travel,Myself lead surface speak name just senior.
2025-06-21 20:33:29,-231.64,Travel,Sport down yourself city though really.
2025-06-22 13:22:13,742.22,,Bonus from work
2025-08-11 19:27:29,914.83,,Gift received
2025-10-16 22:11:21,-412.74,Healthcare,Surface television camera probably something poor whom.
2025-09-24 11:13:33,-382.33,Travel,Case not month federal able summer time.
2025-03-21 17:59:47,-456.86,Transportation,Leave peace include war direction.
2025-02-05 01:06:54,-70.41,Education,Police pretty throughout world understand hit.
2025-05-03 19:04:34,388.03,,Salary payment
2025-09-30 22:50:19,-254.85,Healthcare,Loss quite involve.
2025-07-02 12:01:07,-233.23,Healthcare,Little serious company anyone suggest.
2025-10-13 06:33:16,-463.88,Healthcare,Edge above wish through couple top.
2026-01-04 15:05:45,-491.81,Clothing,Ask leader future.
2025-10-02 11:06:26,-487.44,Food,Near ahead magazine population wind.
