date,amount,category,description
2025-03-22 04:27:02,64.02,,Gift received
2025-02-22 21:21:22,-327.21,Utilities,Hold into the political owner participant.
2025-04-25 23:37:47,-447.4,Shopping,Model huge teacher Mr reality.
2025-02-04 03:28:10,-181.68,Shopping,Vote fire usually.
2025-02-26 05:32:02,724.87,,Freelance project
2025-08-13 02:18:35,713.37,,Freelance project
2025-01-21 20:21:18,-174.77,Shopping,Attack son age against prove.
2025-12-14 22:39:35,-280.9,Utilities,Data president stay develop suddenly.
2025-07-29 16:30:15,267.79,,Gift received
2025-01-22 12:56:09,-101.12,Clothing,Office bad trial wind say until indicate.
2025-07-24 13:53:25,114.18,,Sold old items
2025-08-15 01:48:45,243.45,,Salary payment
2025-05-08 15:03:26,-123.54,Entertainment,Several easy candidate soon.
2025-08-16 07:22:39,-143.14,Entertainment,List ready option PM question fine anything.
2025-05-12 05:57:11,-25.9,Clothing,Almost base with owner house only candidate.
2025-10-17 18:05:20,763.13,,Salary payment
2025-07-07 22:58:37,845.82,,Freelance project
2025-04-08 13:22:25,489.88,,Freelance project
2025-05-05 22:31:01,621.72,,Salary payment
2025-11-28 20:33:51,711.69,,Bonus from work
2025-08-05 13:54:02,65.73,,Sold old items
2025-12-15 09:45:06,114.87,,Freelance project
2026-01-12 07:22:05,651.24,,Salary payment
2025-07-07 04:32:34,-193.03,Food,History way name the growth.
2025-08-17 08:22:15,-32.23,Transportation,Head financial very market.
2025-09-21 01:00:29,979.7,,Freelance project
2025-09-16 19:30:59,170.21,,Freelance project
2025-10-28 09:14:31,-301.75,Healthcare,Decade food fire write let maintain institution become.
2025-07-25 05:49:16,525.51,,Freelance project
2025-11-23 18:25:52,-75.4,Entertainment,War traditional provide during whether record us parent.
2025-03-08 10:42:13,-472.55,Travel,Six yourself send black writer.
2025-07-11 22:36:02,323.28,,Gift received
2025-10-10 21:01:01,-452.41,Clothing,Kind alone name material positive lose.
2025-12-26 13:50:13,322.64,,Bonus from work
2025-07-24 18:29:17,-56.4,Clothing,Street whatever head accept officer move.
2025-03-12 23:47:36,376.3,,Sold old items
2025-07-04 05:42:12,126.7,,Gift received
2026-01-16 21:20:31,-230.91,Transportation,Minute specific character discussion most administration.
2025-04-06 00:30:50,-489.78,Travel,Travel phone positive region bit.
2025-12-28 11:29:52,674.92,,Salary payment
2025-09-27 00:35:05,952.09,,Sold old items
2025-02-27 05:34:35,-226.31,Clothing,Field customer marriage young attack debate money.
2025-12-25 15:10:06,815.98,,Sold old items
2025-09-10 04:36:20,-337.53,Miscellaneous,Eye win agreement industry animal research way act.
2025-08-22 04:17:58,732.9,,Sold old items
2025-08-03 00:14:00,261.24,,Freelance project
2025-03-13 03:39:30,138.93,,Gift received
2025-03-29 07:44:51,-308.56,Utilities,Fill effort member mind.
2025-06-14 21:43:30,118.06,,Gift received
2025-07-07 15:15:43,993.44,,Freelance project
2025-03-04 16:00:57,-448.41,Shopping,Traditional black amount rest they what explain.
2025-12-08 09:06:38,127.88,,Bonus from work
2025-06-08 22:02:15,248.34,,Gift received
2025-06-18 21:18:15,-190.6,Healthcare,Relationship within capital kitchen art reduce him.
2025-12-09 17:20:58,-53.41,Travel,Catch later woman to state fall.
2025-06-16 05:59:18,-200.1,Transportation,Ten at reason bill truth.
2025-04-17 11:49:55,198.87,,Gift received
2025-04-25 13:32:59,-203.67,Healthcare,Partner across line decade read.
2025-12-07 06:18:19,606.15,,Salary payment
2025-09-25 19:21:47,-285.7,Education,Sometimes share eight peace plant whose wish.
2025-07-31 03:01:32,-448.77,Healthcare,Door beat able size still.
2025-04-19 04:36:00,-159.59,Food,Sea wait eight stuff machine.
2025-12-22 18:17:41,-141.54,Entertainment,Receive dinner rise option.
2025-11-10 07:10:51,873.47,,Salary payment
2025-09-26 13:54:27,-417.75,Transportation,Near happen admit take money degree serve dark.
2025-07-24 04:13:03,-34.32,Miscellaneous,Boy save model development middle able enjoy lawyer.
2025-09-09 21:17:34,617.73,,Freelance project
2025-09-27 21:08:36,788.44,,Bonus from work
2025-04-10 05:49:55,-428.86,Travel,Gun military summer mind treatment.
2025-03-04 16:33:52,215.44,,Gift received
2026-01-16 06:00:48,-417.05,Food,Book contain throw box third.
2025-10-04 04:23:39,-389.86,Utilities,Long performance account around drive.
2025-07-15 22:19:05,-484.96,Shopping,Fall responsibility role tend stuff of better.
2025-04-09 16:10:15,199.36,,Bonus from work
2025-02-08 20:42:13,325.93,,Bonus from work
2025-03-13 00:09:23,-397.14,Transportation,Thank low event threat near.
2025-12-04 18:15:03,54.97,,Sold old items
2025-11-14 19:51:26,340.5,,Sold old items
2025-04-26 08:36:02,478.98,,Salary payment
2025-01-24 19:01:00,-351.89,Travel,Same already hand know decide run land.
2025-11-20 18:17:25,486.13,,Salary payment
2025-07-22 00:21:30,920.29,,Sold old items
2025-03-15 15:05:46,480.44,,Sold old items
2026-01-19 11:59:04,-471.19,Travel,Administration name member police would finish official.
2025-05-02 20:20:29,-237.61,Travel,Town throw throughout.
2025-06-23 01:43:40,281.98,,Bonus from work
2025-10-20 08:29:10,-304.56,Clothing,Political personal between age might card increase.
2025-10-12 06:13:22,986.04,,Salary payment
2025-02-20 20:47:54,337.56,,Bonus from work
2025-07-29 21:51:34,-396.8,Miscellaneous,By later whether.
2025-02-21 23:22:40,-38.05,Entertainment,Player wish choose leg enough necessary commercial.
