date,amount,category,description
2025-09-28 06:04:39,267.97,,Bonus from work
2025-05-30 22:53:00,-323.75,Education,Feeling thank never power difference.
2025-04-26 13:55:07,-160.41,Transportation,Body material past structure man idea direction.
2025-08-23 17:51:52,-54.57,Healthcare,Exist science federal goal fund room town.
2025-12-26 12:10:21,379.98,,Sold old items
2025-11-11 21:58:57,838.52,,Freelance project
2025-09-26 19:50:15,991.19,,Freelance project
2025-07-08 10:19:15,-218.13,Travel,Scientist special subject hair PM second role.
2026-01-04 10:56:01,-198.94,Transportation,Turn director remember age.
2026-01-06 00:24:32,173.29,,Bonus from work
2025-06-03 15:17:08,-381.34,Travel,Usually east security fact.
2025-10-14 04:53:31,-85.72,Transportation,Group usually now course economy.
2025-12-01 17:15:35,110.46,,Salary payment
2025-04-02 16:07:45,236.46,,Salary payment
2025-01-24 14:28:39,-278.38,Clothing,Leg economic draw.
2025-12-03 10:02:12,372.56,,Freelance project
2025-08-26 12:07:44,831.76,,Salary payment
2025-06-22 20:16:24,878.81,,Salary payment
2025-04-13 04:16:11,-155.57,Shopping,Tree movement get future than.
2025-04-20 19:06:53,-436.55,Miscellaneous,Girl know admit on discussion police.
2025-10-01 02:09:54,671.51,,Gift received
2025-02-07 07:19:14,704.52,,Sold old items
2025-05-01 10:19:58,926.77,,Bonus from work
2025-11-16 13:31:15,516.4,,Sold old items
2025-08-05 22:15:50,-247.58,Entertainment,Teacher least expect natural fine film college.
2025-10-25 23:38:22,343.0,,Freelance project
2025-04-21 01:49:33,-211.45,Clothing,Marriage Congress get network bit group relate.
2025-02-14 01:18:16,-217.96,Utilities,Tonight save ground speech party outside address.
2025-08-10 18:19:05,962.41,,Sold old items
2025-02-17 09:47:27,669.98,,Freelance project
2025-04-18 06:46:13,851.15,,Freelance project
2026-01-01 11:05:34,911.96,,Bonus from work
2025-12-30 10:08:10,918.98,,Sold old items
2025-09-20 02:29:49,-30.61,Clothing,Already student baby stuff environmental final.
2025-04-18 09:48:33,817.43,,Freelance project
2025-01-29 23:08:46,434.35,,Bonus from work
2025-03-12 18:33:00,-355.12,Shopping,Rate certainly quality if nearly they teach.
2025-08-24 08:56:54,-450.78,Education,President ok certain someone.
2025-05-20 20:43:38,269.92,,Sold old items
2025-10-28 19:04:31,476.39,,Sold old items
2026-01-08 04:44:19,750.87,,Sold old items
2025-02-24 12:50:02,395.9,,Gift received
2025-03-19 12:57:39,-196.78,Utilities,Analysis industry score fall war.
2025-08-07 13:02:56,-459.3,Transportation,Face office guess rate fear take commercial.
2026-01-10 18:23:21,58.31,,Salary payment
2025-11-17 03:25:43,686.68,,Bonus from work
2025-03-05 09:50:04,-424.56,Healthcare,Big six section purpose oil industry.
2025-10-27 06:15:50,-488.57,Clothing,Field left today speech forward bit.
2025-09-04 16:06:35,-150.31,Food,Professional whom chance president into small.
2026-01-04 07:01:54,-137.09,Travel,Movie more picture thank.
2025-01-24 09:17:28,852.37,,Gift received
2025-06-03 04:47:11,795.07,,Salary payment
2025-05-03 03:13:37,335.0,,Freelance project
2025-07-12 07:00:13,-134.49,Healthcare,Begin choose tonight compare second.
2025-10-27 08:13:29,834.97,,Sold old items
2025-02-08 12:38:26,-200.25,Clothing,Economic blue moment those.
2026-01-12 10:25:21,372.95,,Gift received
2025-02-14 10:30:55,396.81,,Freelance project
2025-08-25 07:08:16,-218.14,Transportation,Change whole hope building bad state.
2025-02-16 23:41:48,-123.72,Food,Move stuff environment writer yet.
2025-12-04 22:43:27,95.82,,Salary payment
2025-06-04 07:01:14,761.85,,Salary payment
2025-07-10 11:13:41,532.75,,Gift received
2025-12-14 09:30:51,255.19,,Salary payment
2025-04-06 15:58:18,136.37,,Freelance project
2025-11-15 08:44:27,-285.27,Education,Here later style dream born.
2025-06-13 03:57:55,378.15,,Salary payment
2025-07-12 22:36:04,-322.91,Food,Dog bit spend leader deal.
2025-02-19 00:55:19,-39.33,Entertainment,Ten again yard pay full his.
2025-05-11 16:28:54,-329.24,Shopping,Thought tough some pass east throughout fact.
2025-03-25 18:25:02,-151.02,Miscellaneous,Decision ok summer maybe result and.
2025-10-08 18:59:24,775.43,,Sold old items
2025-03-13 17:08:14,-329.91,Shopping,Author than care issue.
2025-10-29 02:40:31,-498.5,Clothing,Fill lot action hospital development.
2025-11-27 20:10:42,-64.1,Shopping,I PM large nothing trip fight chair.
2025-09-02 23:16:30,-226.42,Shopping,Miss loss know group.
2025-01-23 20:23:31,883.37,,Gift received
2025-10-18 08:29:09,400.37,,Sold old items
2025-06-28 02:55:54,586.63,,Sold old items
2025-10-10 00:26:22,104.15,,Sold old items
2025-12-13 11:19:07,427.5,,Gift received
2025-08-24 13:43:11,-228.09,Utilities,Drive seem high pretty.
2025-11-09 11:51:45,-67.09,Clothing,We lose forward.
2025-08-01 01:02:47,-271.02,Travel,Trial open discover.
2025-02-08 19:50:57,-102.84,Shopping,Light notice no organization city here crime.
2025-09-03 20:52:12,-25.99,Miscellaneous,Performance we speak less.
2025-05-11 02:51:20,-15.1,Travel,Thing whatever score people yourself trade.
2025-10-04 19:41:23,404.35,,Salary payment
2025-12-26 00:55:04,865.2,,Salary payment
2025-09-09 23:59:34,945.29,,Gift received
2025-09-15 13:07:08,110.75,,Bonus from work
