date,amount,category,description
2025-10-15 09:53:51,-473.66,Utilities,Sort send international.
2025-05-21 18:07:29,-161.86,Healthcare,Test million attack new debate party scientist study.
2025-02-27 12:18:03,181.09,,Gift received
2025-12-01 20:12:55,-22.81,Clothing,Look mouth record.
2025-04-12 03:44:03,967.96,,Sold old items
2025-11-26 03:38:51,-497.39,Food,Leader want what sing.
2025-02-18 02:09:00,402.34,,Salary payment
2025-07-04 13:52:25,-146.83,Travel,Behavior model girl expect mention five.
2025-03-11 14:20:31,-365.17,Food,Nor human lose remain minute financial.
2025-03-17 05:06:01,-497.41,Utilities,Law never month image maybe.
2026-01-09 21:03:02,264.02,,Gift received
2025-07-14 11:25:18,-419.2,Entertainment,Network summer lay well agency.
2025-08-31 21:50:26,-132.43,Shopping,News truth pressure would.
2025-04-12 18:32:25,903.08,,Sold old items
2025-03-31 01:19:56,913.83,,Freelance project
2025-11-17 10:46:28,769.32,,Bonus from work
2025-07-23 10:34:05,330.49,,Salary payment
2025-10-30 00:15:56,156.4,,Gift received
2025-08-12 08:29:35,372.34,,Bonus from work
2025-09-13 12:16:50,-61.82,Clothing,Guy a civil no another government may evidence.
2025-02-26 13:42:02,244.41,,Bonus from work
2025-04-05 14:19:04,-85.88,Education,Explain save event four phone give current.
2025-06-21 17:08:03,-217.36,Miscellaneous,Cut point after note.
2025-12-05 04:16:29,-110.95,Miscellaneous,Indeed population and positive site listen matter edge.
2025-09-20 14:31:31,-288.49,Entertainment,Work nor thing drive tree necessary.
2025-07-07 03:34:53,-473.7,Transportation,Deal room body big speak employee wife full.
2025-04-12 03:12:57,234.15,,Bonus from work
2025-05-07 11:56:28,57.79,,Freelance project
2025-11-19 18:58:57,805.67,,Bonus from work
2025-06-19 13:14:57,-332.62,Miscellaneous,Memory improve television field Congress before.
2025-02-14 22:47:35,146.44,,Freelance project
2025-11-13 17:02:18,690.22,,Freelance project
2025-03-11 19:22:06,913.23,,Bonus from work
2025-11-02 01:47:44,510.65,,Freelance project
2025-02-01 10:59:28,125.03,,Salary payment
2025-03-16 18:50:22,859.73,,Bonus from work
2025-04-20 17:34:36,-70.15,Education,Civil ready office store wish meet decide.
2025-02-15 06:34:33,-74.28,Utilities,Current bring claim win hand window once.
2025-10-01 22:51:29,-221.48,Shopping,Approach arrive six.
2025-09-23 17:10:39,-183.06,Travel,Sell mouth find.
2025-04-10 21:11:29,190.6,,Sold old items
2025-03-23 13:56:35,742.84,,Salary payment
2025-07-03 21:39:55,-59.41,Entertainment,Example green next argue model.
2025-07-14 19:19:24,744.75,,Salary payment
2025-08-28 22:06:47,995.08,,Bonus from work
2025-01-25 07:06:59,-343.56,Utilities,Me serve last individual agreement.
2025-09-16 16:33:11,764.87,,Salary payment
2025-03-13 14:40:09,-258.38,Clothing,Pretty push cut.
2025-08-12 11:41:02,965.59,,Bonus from work
2025-11-25 10:35:31,110.29,,Freelance project
2025-07-26 23:28:47,84.03,,Freelance project
2026-01-19 07:35:39,640.5,,Gift received
2025-11-27 02:04:37,-477.92,Entertainment,Speech behavior than foot indeed indicate.
2025-11-02 06:45:08,-132.17,Food,Wife personal because even.
2025-10-16 19:47:08,168.92,,Salary payment
2025-06-21 17:26:54,279.46,,Sold old items
2025-12-05 12:33:49,234.51,,Bonus from work
2025-10-13 22:38:59,772.28,,Sold old items
2025-11-08 07:22:10,-378.04,Travel,Religious along add year threat mother education.
2025-08-14 19:03:04,596.14,,Salary payment
2026-01-15 13:45:00,79.98,,Freelance project
2025-05-23 22:51:18,874.87,,Bonus from work
2025-04-23 03:46:01,-85.82,Clothing,Great protect prepare rise establish economic.
2025-12-12 13:01:21,-405.79,Utilities,Former husband try just agree image door.
2025-06-18 00:18:06,138.54,,Salary payment
2025-05-14 08:00:41,743.78,,Gift received
2025-12-14 20:44:38,-49.19,Education,Current husband administration blood education cost stay.
2025-08-23 13:32:05,-458.35,Clothing,Adult most manage line discussion view use impact.
2025-12-01 00:29:41,578.51,,Bonus from work
2025-04-24 06:53:33,146.9,,Sold old items
2025-06-09 16:41:08,61.02,,Salary payment
2025-08-08 20:39:09,-37.63,Clothing,Minute look responsibility big.
2025-12-17 17:34:08,517.78,,Bonus from work
2025-12-06 08:03:28,309.58,,Gift received
2025-04-15 07:20:52,127.17,,Sold old items
2025-02-11 05:11:29,853.15,,Bonus from work
2025-05-21 08:54:03,610.19,,Bonus from work
2025-03-29 05:56:11,-315.6,Healthcare,Itself her majority morning political how.
2025-02-03 14:55:12,-235.72,Utilities,One keep writer myself.
2025-05-01 02:30:59,-101.94,Clothing,Development debate week.
2025-06-28 02:22:28,-287.44,Transportation,Article analysis sea weight than bed miss mother.
2025-09-17 16:26:57,-186.2,Travel,Would follow kind.
2025-02-15 14:27:39,497.92,,Sold old items
2025-07-30 13:42:36,-298.66,Food,Popular threat certain think cover.
2025-04-12 09:33:59,-372.24,Transportation,Example successful memory check right describe.
2025-05-21 06:25:21,-230.81,Miscellaneous,Without player most clear member.
2025-09-26 10:12:00,-200.78,Travel,Have talk understand themselves.
2025-11-14 18:27:08,-35.3,Healthcare,Weight method happy.
2025-05-20 19:37:41,724.87,,Gift received
2025-12-04 11:39:32,-390.16,Transportation,Indeed series who even interest.
2025-09-02 03:16:07,549.23,,Freelance project
