date,amount,category,description
2025-06-18 02:19:01,-352.02,Clothing,Food manager generation.
2025-04-12 11:07:54,-71.04,Miscellaneous,Attorney research give fight scientist along it.
2025-01-22 14:27:48,-312.57,Transportation,Sell development card charge.
2025-02-10 14:47:29,-137.25,Miscellaneous,Environment face set soldier learn.
2025-04-02 14:26:17,-316.86,Miscellaneous,Him become free may miss.
2025-02-15 17:44:24,376.63,,Bonus from work
2025-06-05 15:44:10,876.42,,Salary payment
2025-09-15 22:51:08,-198.65,Clothing,Responsibility contain Congress thank strategy which how.
2026-01-14 08:12:23,266.65,,Salary payment
2025-05-31 02:04:42,826.98,,Gift received
2025-12-02 15:18:15,-86.24,Clothing,Suddenly ability bring.
2025-01-31 18:54:53,-217.47,Healthcare,Plant our score remember cost middle assume.
2025-01-30 16:50:15,-435.81,Transportation,Expert bit instead must quite they.
2025-07-15 03:36:53,604.78,,Bonus from work
2025-02-03 07:04:44,506.81,,Bonus from work
2025-12-29 16:43:50,136.66,,Bonus from work
2025-11-08 23:52:53,-196.74,Transportation,Argue Congress help card.
2025-09-16 00:49:41,-102.4,Education,Senior go each question size ten.
2025-07-06 14:42:58,-284.05,Transportation,City any control police officer.
2025-09-11 15:03:42,-63.61,Education,Ago read board.
2025-02-16 04:16:48,-195.5,Miscellaneous,Serve listen growth network.
2025-05-04 13:06:37,355.22,,Sold old items
2025-05-07 21:12:02,376.95,,Salary payment
2025-05-15 00:32:37,193.62,,Salary payment
2025-05-11 07:05:50,-268.76,Transportation,Recognize field set tonight remember action.
2025-12-14 05:31:57,777.28,,Freelance project
2025-12-06 07:47:47,-325.19,Transportation,Worker adult threat benefit.
2025-10-28 06:20:02,-145.81,Clothing,Road leave up beautiful participant it.
2026-01-16 13:32:41,-52.88,Entertainment,Reality physical middle.
2025-05-06 06:29:37,-213.58,Miscellaneous,Civil may view.
2025-03-18 00:47:55,266.24,,Bonus from work
2026-01-18 09:07:54,-184.92,Clothing,Drive city reality green get light.
2025-09-21 17:42:05,464.01,,Sold old items
2025-08-22 07:05:37,-360.51,Food,Base for computer watch program option.
2025-04-28 06:21:25,-13.03,Education,Ahead truth along side.
2026-01-07 14:30:32,70.57,,Freelance project
2025-12-26 03:39:49,842.14,,Sold old items
2025-12-01 08:15:17,632.83,,Bonus from work
2025-08-21 02:51:47,-255.41,Clothing,Toward yourself official arm.
2025-11-26 20:32:53,630.35,,Bonus from work
2025-09-10 22:57:55,330.02,,Bonus from work
2025-09-16 17:40:39,-321.82,Miscellaneous,Report information of.
2025-02-14 03:17:25,-118.39,Healthcare,Player determine pressure discuss understand.
2025-04-09 06:09:43,-326.16,Shopping,Look goal risk government sport.
2025-05-21 08:47:50,-372.54,Clothing,Million office herself either economic begin.
2025-03-15 18:08:53,-297.17,Utilities,Particular popular protect statement us.
2026-01-06 23:19:19,-386.46,Transportation,Exactly responsibility government great discover society.
2025-05-03 16:04:15,62.06,,Freelance project
2025-04-18 18:35:24,-371.41,Utilities,Agency have already them.
2025-06-09 09:04:28,748.16,,Bonus from work
2025-07-29 08:13:28,-455.29,Clothing,Worker doctor success.
2025-08-11 06:19:18,-397.7,Clothing,Bag change audience detail choice miss go.
2025-10-18 04:53:05,-106.16,Education,None area upon among since ground remember special.
2025-07-16 00:00:35,489.31,,Salary payment
2025-06-20 08:48:41,998.53,,Bonus from work
2025-06-20 01:31:58,653.99,,Sold old items
2025-04-27 01:01:26,-139.0,Shopping,Next morning world big down some career.
2025-02-16 16:18:34,828.35,,Gift received
2025-03-09 09:08:47,769.66,,Gift received
2025-11-30 04:03:49,-441.09,Education,Director point perform.
2025-01-30 14:26:10,559.57,,Gift received
2026-01-06 02:41:50,918.42,,Salary payment
2025-11-01 16:37:21,-459.46,Food,Someone country person message culture often send.
2025-05-15 12:14:04,-17.9,Travel,Three spend when painting term science child.
2025-09-07 00:06:33,756.84,,Gift received
2025-08-02 06:26:14,568.1,,Bonus from work
2025-07-07 21:32:01,-436.15,Utilities,Natural learn money.
2025-03-14 08:09:45,585.95,,Freelance project
2025-08-20 17:38:17,539.23,,Gift received
2025-02-13 23:37:55,-456.58,Utilities,Plan today car.
2025-09-28 18:50:04,337.1,,Sold old items
2025-02-12 08:04:54,-322.95,Miscellaneous,He mother media stay fish.
2025-04-04 17:16:05,-242.83,Education,Center write open fish bed.
2025-12-16 19:52:51,-340.35,Utilities,Suddenly camera professional girl beat not ago election.
2025-10-11 11:16:38,330.3,,Bonus from work
2025-05-21 17:20:53,-28.72,Utilities,Large leg Congress glass also.
2025-04-15 00:36:27,-234.38,Clothing,Game into top watch writer general.
2025-03-11 00:39:45,-357.95,Clothing,Charge number term require word.
2025-09-20 13:28:39,-147.4,Healthcare,Wall hundred surface believe.
2025-04-22 22:30:03,-318.78,Healthcare,Car base machine part.
2025-08-28 11:27:33,523.21,,Freelance project
2025-11-13 04:20:16,-165.06,Food,Green box bad middle.
2025-05-30 21:44:13,-277.7,Education,Arrive offer couple senior behavior speak.
2025-06-17 20:57:26,-109.07,Transportation,Floor discover sometimes model.
2026-01-10 16:25:08,228.6,,Gift received
2025-12-13 13:28:20,712.21,,Salary payment
2025-04-20 02:23:29,733.64,,Freelance project
2025-03-17 08:22:11,895.37,,Sold old items
2025-09-14 14:51:06,421.39,,Gift received
2025-10-20 04:54:57,963.76,,Sold old items
2025-04-17 07:50:09,-199.78,Transportation,I best office protect consumer candidate together century.
