date,amount,category,description
2025-07-31 23:46:00,-399.92,Shopping,Beautiful collection set.
2025-11-27 03:13:25,-166.09,Clothing,Mother approach high writer television.
2025-04-16 09:30:58,-382.9,Utilities,Director kid rest.
2025-01-27 00:43:49,-331.24,Transportation,First instead let owner let.
2025-11-02 16:38:53,70.7,,Freelance project
2025-12-09 11:56:22,507.44,,Salary payment
2025-06-25 15:18:41,-62.49,Education,Thus in carry least ever evening work.
2025-04-10 04:17:51,858.82,,Freelance project
2025-04-23 15:41:29,269.35,,Salary payment
2025-02-19 05:33:16,501.16,,Bonus from work
2025-08-22 13:55:09,699.04,,Freelance project
2025-12-25 07:30:57,887.92,,Sold old items
2025-05-12 12:59:41,599.68,,Sold old items
2025-11-21 04:48:36,384.75,,Freelance project
2025-10-07 02:07:34,-207.38,Healthcare,Art eat product shoulder key task tough page.
2025-11-08 19:28:12,924.14,,Sold old items
2025-12-24 05:28:54,-398.7,Entertainment,Human until leave whole per north system.
2025-02-13 08:56:10,138.39,,Freelance project
2025-03-16 06:41:32,-135.08,Travel,Past arm experience common Congress south lay produce.
2025-11-21 17:16:44,-204.86,Healthcare,Eye civil vote there yourself onto.
2025-01-20 20:54:51,608.51,,Bonus from work
2025-04-13 01:21:31,-57.78,Utilities,Gun start support learn police player box where.
2025-12-22 07:48:56,891.86,,Freelance project
2025-09-25 04:45:34,-359.74,Transportation,Debate power find.
2025-09-25 07:09:27,-63.33,Entertainment,Activity tree high language old hair knowledge.
2025-11-28 19:01:52,-97.43,Healthcare,Trip point quite everything.
2025-03-08 01:17:52,67.69,,Sold old items
2025-09-28 14:16:40,-323.16,Healthcare,Blue prove real instead perhaps right public area.
2025-03-31 02:33:41,-354.31,Education,Red let side card camera thus.
2025-03-18 08:47:43,532.93,,Bonus from work
2025-08-07 01:12:17,-254.71,Healthcare,Necessary culture couple firm.
2025-12-17 00:00:12,168.37,,Bonus from work
2025-01-28 02:28:22,239.77,,Salary payment
2025-05-19 06:33:42,655.84,,Salary payment
2025-07-29 11:39:13,-118.28,Shopping,Operation friend point difficult per raise country.
2025-05-17 12:53:23,144.84,,Salary payment
2025-02-20 19:04:34,-174.28,Education,Safe fall organization soon.
2025-07-01 01:11:23,-203.06,Shopping,Wait every at natural above else.
2025-04-26 16:41:33,565.82,,Salary payment
2025-03-04 09:04:34,-494.75,Miscellaneous,Wrong nature seek sometimes financial thus.
2025-02-27 04:41:44,901.93,,Sold old items
2025-05-12 22:21:29,149.42,,Salary payment
2025-05-27 14:05:59,902.22,,Salary payment
2025-12-07 05:55:10,812.15,,Sold old items
2025-05-02 03:28:15,-150.93,Education,Wonder rate catch film peace cultural herself.
2025-04-05 18:20:12,623.33,,Salary payment
2025-02-15 02:33:40,-407.36,Food,Quite word cultural issue reduce buy.
2025-07-14 07:08:48,709.48,,Gift received
2025-07-29 14:48:54,-349.9,Transportation,Possible hand act nor type culture.
2025-02-28 13:44:20,-140.58,Food,Floor travel parent according include us face.
2025-08-14 12:02:16,-392.8,Miscellaneous,Agree walk before particular draw which.
2025-09-29 09:50:28,467.43,,Sold old items
2025-12-19 15:31:24,-390.15,Utilities,Somebody us really task simple thought PM.
2025-08-07 13:44:35,-181.38,Miscellaneous,Policy season call mouth the knowledge receive.
2025-01-26 11:39:09,952.42,,Freelance project
2025-06-03 11:25:54,85.17,,Sold old items
2025-08-15 07:14:09,-282.35,Shopping,Recent return order.
2025-05-27 12:07:08,669.31,,Freelance project
2025-09-28 13:25:19,-230.44,Clothing,Color we office manage attorney require.
2025-11-26 08:17:32,367.65,,Freelance project
2025-07-16 18:43:31,949.37,,Gift received
2025-09-17 19:06:31,135.26,,Salary payment
2026-01-08 12:52:47,579.8,,Gift received
2025-09-03 06:00:14,-67.01,Miscellaneous,Commercial him have experience article.
2025-07-14 02:28:00,-385.06,Education,No president race reach certainly office.
2025-08-24 05:22:04,921.34,,Salary payment
2025-08-23 05:30:22,287.55,,Freelance project
2025-05-28 08:16:47,-237.66,Food,Term send walk anything center feeling exactly.
2025-12-28 12:44:52,231.34,,Bonus from work
2025-12-13 10:12:35,-162.97,Transportation,Official turn car involve.
2026-01-01 14:26:31,-93.61,Transportation,Hot go should real present decision activity.
2025-11-06 10:55:22,-255.51,Transportation,Study worker beautiful of.
2026-01-17 15:43:26,888.67,,Sold old items
2025-05-16 19:18:21,-179.11,Transportation,Article parent price small bank might quickly.
2025-10-22 08:18:05,-216.98,Clothing,Cover phone know north.
2025-02-06 11:47:14,774.91,,Salary payment
2025-03-24 17:20:12,654.51,,Bonus from work
2025-05-20 20:09:16,101.81,,Sold old items
2025-11-21 09:39:38,-457.26,Travel,Almost family enough other water sell.
2025-08-22 19:33:44,858.6,,Salary payment
2025-12-31 20:29:44,-489.1,Food,Sense even he want might them write.
2025-02-21 00:44:57,-123.14,Food,Just task case poor chance.
2025-08-04 21:22:27,-146.93,Food,Mention nation image military four media also own.
2025-08-06 18:24:48,501.65,,Freelance project
2025-03-03 18:44:02,-364.37,Healthcare,Ahead then detail prepare.
2025-08-17 09:43:01,119.25,,Salary payment
2025-06-16 10:37:18,-228.16,Food,Article reality happy through person.
2025-03-23 11:51:22,972.58,,Sold old items
2025-09-24 02:53:42,492.21,,Gift received
2025-09-08 22:21:34,258.28,,Freelance project
2026-01-09 19:48:56,944.19,,Gift received
