date,amount,category,description
2025-11-30 17:05:35,296.95,,Sold old items
2025-02-01 04:48:58,842.95,,Gift received
2025-06-20 08:54:32,-192.73,Travel,Miss fact long away information.
2025-08-24 14:23:07,-319.88,Miscellaneous,Size green center candidate happy.
2025-08-28 09:26:26,969.55,,Salary payment
2025-10-05 17:28:13,-129.94,Travel,Into how likely traditional attorney friend.
2025-04-30 02:13:40,269.21,,Sold old items
2026-01-12 00:58:04,-239.13,Clothing,Should mean bring meeting structure minute report.
2025-05-07 18:06:39,659.84,,Sold old items
2025-04-21 18:09:37,-57.14,Shopping,Debate voice worry they degree stage hot.
2025-08-03 19:06:57,-282.88,Miscellaneous,Difference great stock expect change.
2025-08-07 23:31:32,-60.93,Healthcare,Hour shoulder someone suffer often involve part.
2025-07-12 17:44:20,331.84,,Freelance project
2025-09-18 00:45:41,176.09,,Sold old items
2025-02-05 16:38:44,79.97,,Bonus from work
2025-12-19 02:37:24,-194.1,Food,Finish school since expect beat poor.
2025-07-04 22:14:44,222.41,,Sold old items
2025-11-15 11:12:43,829.41,,Gift received
2025-07-15 10:15:40,-194.48,Clothing,Each try cover key herself necessary.
2026-01-11 15:10:48,149.88,,Bonus from work
2025-05-23 02:05:04,-448.41,Education,Will fish yeah camera later.
2025-10-31 20:28:31,545.92,,Bonus from work
2026-01-04 21:15:04,-408.33,Healthcare,Occur national important soon probably almost seat maybe.
2025-12-05 22:37:41,68.82,,Gift received
2025-02-07 22:37:21,683.56,,Freelance project
2025-11-21 07:18:01,-50.65,Transportation,Customer yeah outside arrive and.
2025-01-28 23:01:26,928.49,,Sold old items
2025-08-17 06:49:52,-387.54,Healthcare,Produce site imagine world some.
2025-07-07 23:12:24,-347.16,Utilities,Manager second will help much world compare.
2025-12-04 07:18:57,398.87,,Bonus from work
2025-10-18 14:02:17,825.95,,Freelance project
2025-03-31 21:10:24,869.95,,Gift received
2025-10-24 06:52:29,-330.89,Shopping,At sure bring establish service simple seat.
2026-01-07 14:06:33,-363.78,Shopping,As arrive rather.
2025-03-28 03:35:10,-96.02,Travel,Join charge feeling trip.
2025-05-01 12:20:52,729.61,,Salary payment
2025-07-24 19:52:04,396.6,,Sold old items
2025-08-27 22:56:27,606.41,,Freelance project
2025-08-15 16:04:00,98.5,,Gift received
2025-05-04 01:35:28,-93.05,Healthcare,Person onto product discuss.
2025-10-26 10:49:46,-194.13,Clothing,Society book cover something claim deal check.
2025-05-31 18:30:38,-304.92,Utilities,Join down seek health catch chair low perhaps.
2025-06-15 18:07:02,-413.86,Entertainment,Cut fight cover method mean drop.
2025-12-14 01:49:50,-320.01,Shopping,Recognize plant poor increase subject business yes.
2025-10-24 21:46:08,329.82,,Salary payment
2025-05-30 00:31:38,-362.1,Entertainment,Product cultural move probably defense world shake but.
2025-11-29 18:32:45,-159.66,Shopping,Picture fight answer night person magazine woman customer.
2025-06-29 00:51:44,-32.91,Food,Save trip its central long out.
2025-08-30 03:33:07,-419.99,Food,Security not might society let.
2025-04-15 10:33:57,483.82,,Gift received
2025-11-21 14:59:08,-222.61,Transportation,Treat ground imagine back blue instead.
2025-03-20 00:18:47,-379.59,Shopping,Institution lot think military.
2025-09-16 03:29:04,-318.18,Shopping,Father nice great government experience begin discover.
2025-11-19 07:56:47,733.52,,Gift received
2025-07-31 07:54:21,236.38,,Salary payment
2025-06-22 22:46:51,-484.93,Shopping,Type run whole name service.
2026-01-02 12:08:38,-248.31,Travel,Floor list gun prepare throughout black nearly.
2025-06-12 03:03:11,-289.39,Utilities,Threat sort different.
2025-04-20 18:44:59,-347.06,Shopping,Establish do more tree campaign have finally.
2025-05-11 14:11:35,292.96,,Salary payment
2025-05-16 12:02:52,632.32,,Gift received
2025-08-31 14:53:57,343.85,,Bonus from work
2025-08-15 06:53:58,434.89,,Salary payment
2025-10-25 14:07:24,190.02,,Salary payment
2025-07-19 18:22:31,-316.67,Food,Gas behind allow own picture voice beyond.
2025-05-02 05:26:30,-369.63,Miscellaneous,Popular sport tell deal how will challenge family.
2025-04-03 02:43:31,144.54,,Sold old items
2025-09-06 11:35:13,849.17,,Freelance project
2025-06-27 04:18:13,-426.5,Travel,Support success father within board accept.
2025-10-13 22:34:19,214.4,,Freelance project
2025-05-14 10:53:18,837.87,,Gift received
2026-01-18 07:14:22,671.64,,Bonus from work
2025-03-29 23:17:01,-456.62,Clothing,Phone year matter generation.
2025-12-13 10:50:19,-98.31,Miscellaneous,Officer activity four public seem since.
2026-01-01 06:11:08,337.27,,Salary payment
2025-02-07 12:20:51,439.13,,Sold old items
2025-09-21 03:21:22,281.87,,Freelance project
2025-11-29 20:35:37,488.58,,Gift received
2025-04-17 03:55:46,898.01,,Freelance project
2025-08-25 12:19:48,700.5,,Sold old items
2025-04-02 20:00:54,-266.58,Food,Total serve maybe realize.
2025-04-23 03:33:21,-358.65,Miscellaneous,Kind service simple prove store.
2025-03-30 09:40:55,-307.32,Clothing,Remain toward pressure live choice deal hear.
2025-07-11 16:07:39,-185.64,Shopping,Cause threat keep future.
2025-07-14 13:02:37,421.03,,Gift received
2025-08-28 03:53:29,485.12,,Freelance project
2025-04-28 12:49:06,995.07,,Sold old items
2025-12-01 03:17:48,-202.12,Food,Analysis effect everything game series job.
2025-05-11 21:58:08,-406.84,Utilities,Production in kitchen property ahead memory long.
2025-12-21 21:07:40,406.14,,Bonus from work
2026-01-04 11:32:15,-391.98,Education,How husband see authority.
