date,amount,category,description
2025-02-10 08:53:32,968.05,,Gift received
2025-12-26 11:41:50,373.63,,Salary payment
2025-10-31 18:20:31,269.7,,Sold old items
2025-08-20 00:08:57,810.46,,Gift received
2025-08-13 11:01:37,-72.44,Miscellaneous,Ready sometimes also style effect.
2025-08-11 06:57:22,268.37,,Freelance project
2025-08-26 22:04:50,-154.59,Utilities,Method offer source nation.
2025-08-07 05:09:40,-393.27,Shopping,Major nor media plan wall general.
2025-10-22 22:20:17,-285.02,Food,State science hear official scientist federal become.
2025-10-15 01:34:48,-486.07,Transportation,Full already time first character.
2025-07-18 09:35:54,178.47,,Freelance project
2025-08-24 12:42:42,381.88,,Bonus from work
2025-11-04 09:03:24,-498.67,Entertainment,Fine however push.
2025-10-26 04:38:32,169.46,,Sold old items
2025-06-19 11:24:24,-383.63,Healthcare,Home able second left teacher risk speech.
2025-02-06 14:13:26,-392.71,Food,Down suddenly catch.
2025-06-07 01:10:45,-443.56,Food,Above mother build worry compare Mr just.
2025-03-10 11:55:51,596.0,,Gift received
2025-08-03 17:47:24,-74.82,Clothing,Carry environmental character shake early heavy.
2025-07-08 19:32:38,-291.54,Clothing,Boy lawyer cultural south wife recognize certain.
2026-01-09 04:18:21,-429.56,Clothing,Admit skill through too factor.
2025-07-07 00:37:04,989.74,,Bonus from work
2025-02-23 17:47:00,838.12,,Bonus from work
2025-06-15 01:19:01,-99.38,Clothing,Back feeling building book citizen many.
2025-10-25 02:33:50,-474.01,Education,Set for number almost style rise.
2025-09-23 04:35:31,84.17,,Freelance project
2025-11-11 22:07:46,265.04,,Freelance project
2025-08-14 17:48:28,907.94,,Sold old items
2025-08-12 21:59:30,-114.08,Healthcare,Station than commercial top interest animal same relationship.
2025-04-25 23:27:58,868.66,,Bonus from work
2025-06-25 14:28:44,-483.89,Entertainment,Party sort body unit condition money.
2025-11-03 11:00:59,-67.07,Entertainment,Series admit speak these.
2025-03-14 14:37:10,407.45,,Freelance project
2025-05-16 16:43:21,368.7,,Sold old items
2025-11-26 21:06:40,-230.8,Food,Their pattern president consider final.
2025-11-06 16:59:35,-492.11,Travel,Approach true worry on.
2025-07-22 22:47:58,-121.88,Entertainment,Nor building he once.
2025-12-15 19:43:59,-275.89,Shopping,Attack TV spring moment girl meet.
2025-09-09 19:53:17,334.48,,Salary payment
2025-05-22 02:23:47,-128.61,Miscellaneous,Fine as wear cold health.
2025-06-16 01:46:14,-449.7,Travel,Who sing near rule institution likely.
2025-08-21 04:08:45,-353.68,Food,Argue force include they our maybe.
2025-08-10 12:40:53,-308.4,Entertainment,Spend recent west land before television name.
2025-09-14 07:59:18,335.3,,Salary payment
2025-05-17 23:32:05,528.6,,Sold old items
2025-08-30 13:33:31,-331.03,Miscellaneous,Back listen now.
2025-09-14 13:26:07,-355.34,Clothing,Argue with direction according medical.
2025-08-11 03:11:03,192.74,,Bonus from work
2025-08-23 08:47:04,-182.3,Transportation,Often allow guess shake.
2025-06-05 13:52:31,-128.32,Transportation,Phone arm out focus now.
2025-12-17 22:08:02,-402.34,Miscellaneous,Good into wife.
2025-12-06 21:09:23,-275.96,Travel,Prevent three among particular expect.
2025-12-06 07:17:16,850.59,,Bonus from work
2025-07-08 22:30:34,-419.56,Shopping,Everyone find ago lot word drive.
2025-11-17 22:46:08,638.13,,Bonus from work
2025-04-02 08:33:06,953.61,,Sold old items
2025-07-13 23:18:15,-360.29,Miscellaneous,What sport doctor international difference.
2025-09-01 20:20:09,534.68,,Bonus from work
2025-08-21 06:22:52,-15.68,Miscellaneous,Present wish develop both save left social traditional.
2025-02-14 11:23:03,471.03,,Sold old items
2025-11-24 01:32:29,950.33,,Salary payment
2025-01-23 06:00:21,-250.51,Clothing,Customer street heart never bank.
2025-09-09 08:43:15,-482.08,Entertainment,Be above imagine carry benefit.
2025-04-23 02:00:28,110.1,,Sold old items
2025-07-29 06:58:48,-217.98,Shopping,Thank stuff figure article contain work get.
2025-10-07 07:16:48,152.96,,Bonus from work
2026-01-09 06:44:23,-62.73,Entertainment,Once performance stop.
2025-09-01 04:50:10,-295.72,Transportation,Politics mind glass likely night hard natural issue.
2025-06-19 11:51:21,-77.34,Transportation,Base everyone beyond factor course miss.
2025-05-31 13:20:35,764.41,,Sold old items
2025-07-08 22:06:20,583.55,,Sold old items
2025-03-29 18:19:38,-328.06,Miscellaneous,Probably benefit better city against.
2025-03-01 07:13:00,-82.64,Transportation,Financial stuff peace support culture drive.
2025-11-23 02:47:09,-301.73,Shopping,Hot could painting again attack measure.
2025-11-25 09:29:50,64.2,,Bonus from work
2025-03-19 05:24:27,212.02,,Freelance project
2025-04-19 20:34:38,-18.77,Miscellaneous,Others couple without raise third.
2025-11-27 03:52:18,637.38,,Sold old items
2025-10-11 00:25:15,588.44,,Sold old items
2025-09-06 16:52:49,473.7,,Freelance project
2025-12-15 13:34:43,-292.97,Food,Score thing blood.
2025-12-14 09:27:41,-65.87,Shopping,Behavior parent develop able leg.
2025-10-25 11:09:19,-404.5,Education,Seat color too among edge sea.
2025-02-06 13:59:59,-467.92,Miscellaneous,Majority growth listen decade popular add role.
2025-05-30 10:18:59,-302.19,Miscellaneous,Investment religious send cell south.
2025-02-04 13:51:04,450.43,,Sold old items
2025-05-29 10:34:17,164.57,,Sold old items
2025-11-14 21:43:44,906.54,,Freelance project
2025-08-07 03:23:17,-459.74,Shopping,Kid expert none law.
2025-09-15 17:23:29,-265.41,Utilities,Those moment hear can.
2025-06-30 03:18:10,251.39,,Sold old items
